,panelist_id,home_state,home_state_county,city_name,postal_code,dfrw_cap_mean,gender,age,edu_level,ethnicity,is_hispanic,occupational_status,hh_income,hh_income_mid,hh_size
76,EMBUSA-1661308,MD,"('MD', 'Baltimore')",Middle River,21220,22815.197889504376,FEMALE,34.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
77,EMBUSA-1661341,FL,"('FL', 'Hillsborough')",Opa-locka,33054,8664.935371106116,FEMALE,40.0,University/College,Other race,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,7
78,EMBUSA-1661442,PA,"('PA', 'Chester')",Honey Brook,19344,9507.57713225992,FEMALE,45.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,3
79,EMBUSA-1661528,CA,"('CA', 'Riverside')",Wildomar,92595,15073.16421029746,MALE,49.0,Compulsory school,Decline to answer,Decline to answer,Full-time work,"$50,000 - $79,999 USD",65000,4
80,EMBUSA-1663136,WI,"('WI', 'Waukesha')",New Lenox,60451,64005.161671702524,MALE,28.0,High School,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,3
81,EMBUSA-1663295,OK,"('OK', 'Pontotoc')",Ada,74820,1689.1474999999994,FEMALE,40.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
82,EMBUSA-1663663,MO,"('MO', 'Jackson')",Overland Park,66210,35839.75679095477,FEMALE,41.0,High School,White,"Yes, of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
83,EMBUSA-1666392,NY,"('NY', 'Livingston')",Victor,14564,12322.459479293711,FEMALE,34.0,High School,White,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,2
84,EMBUSA-1667004,NV,"('NV', 'Clark')",Las Vegas,89108,15889.693336999148,FEMALE,34.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,1
85,EMBUSA-1673996,OH,"('OH', 'Trumbull')",Warren,44483,17070.258668324743,MALE,29.0,High School,Decline to answer,Decline to answer,Full-time work,"$0 - $14,999 USD",7500,3
86,EMBUSA-1675808,WA,"('WA', 'Clark')",Vancouver,98662,17714.583612748884,FEMALE,40.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,9
87,EMBUSA-1677612,MO,"('MO', 'Clay')",Kansas City,64155,30475.096000000005,FEMALE,32.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,5
88,EMBUSA-1677893,AZ,"('AZ', 'Pima')",Wagoner,74467,12513.101155721222,FEMALE,58.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
89,EMBUSA-1678412,NV,"('NV', 'Clark')",Glendale,91203,16647.282054632564,FEMALE,51.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
90,EMBUSA-1680006,PA,"('PA', 'Philadelphia')",Philadelphia,19150,11367.748893155152,FEMALE,48.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
91,EMBUSA-1681121,PA,"('PA', 'Westmoreland')",Cheswick,15024,27484.46933806581,MALE,42.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,1
92,EMBUSA-1685212,MA,"('MA', 'Plymouth')",Brockton,02302,51345.08,MALE,50.0,University/College,Other race,"Yes, of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,4
93,EMBUSA-1686958,TX,"('TX', 'Harris')",Houston,77077,11392.296000000002,MALE,38.0,Postgraduate Education,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,1
94,EMBUSA-1687839,VA,"('VA', 'Fairfax')",Burke,22015,28663.424666666666,FEMALE,34.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
95,EMBUSA-1697278,FL,"('FL', 'Broward')",Pembroke Pines,33029,10558.615000000002,FEMALE,55.0,High School,White,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
96,EMBUSA-1697797,WI,"('WI', 'Rock')",Beloit,53511,657.8912825045704,FEMALE,65.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
97,EMBUSA-1698031,NC,"('NC', 'Wayne')",,,22614.483835249997,FEMALE,34.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,5
98,EMBUSA-1699452,VA,"('VA', 'Stafford')",Falls Church,22042,31447.730330145554,MALE,25.0,University/College,Native American or Alaskan native,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,7
99,EMBUSA-1701183,GA,"('GA', 'Cherokee')",Kennesaw,30144,6994.205560195866,MALE,36.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
100,EMBUSA-1707147,IN,"('IN', 'Ripley')",Milan,47031,60731.137,FEMALE,29.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,5
101,EMBUSA-1709100,MD,"('MD', 'Baltimore')",Baltimore,21209,9214.571217557253,MALE,21.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,4
102,EMBUSA-1710210,CA,"('CA', 'Sacramento')",Clyde,79510,1940.053504988628,FEMALE,58.0,High School,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,7
103,EMBUSA-1710590,TX,"('TX', 'Harris')",Jasper,75951,36821.66480749574,MALE,38.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
104,EMBUSA-1711607,FL,"('FL', 'Broward')",Margate,33063,7170.835399999998,FEMALE,50.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,3
105,EMBUSA-1713480,SC,"('SC', 'Dillon')",Township of Taylorsville,28681,21286.282266868842,MALE,49.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
106,EMBUSA-1717845,CA,"('CA', 'Contra Costa')",Concord,94519,32375.606958079265,FEMALE,43.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
107,EMBUSA-1717999,TX,"('TX', 'Bell')",Temple,76501,3644.0817195054283,FEMALE,28.0,High School,White,"No, not of Hispanic origin",Full-time work,"$15,000 - $24,999 USD",20000,2
108,EMBUSA-1719845,IL,"('IL', 'McHenry')",Lake In The Hills,60156,12563.511196013795,FEMALE,53.0,Postgraduate Education,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,2
109,EMBUSA-1722917,TX,"('TX', 'Lubbock')",Lubbock,79403,9699.615791001414,FEMALE,48.0,High School,Mixed racial background,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
110,EMBUSA-1723570,OK,"('OK', 'Canadian')",,,26158.79117011236,MALE,24.0,University/College,Mixed racial background,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
111,EMBUSA-1724442,OK,"('OK', 'Oklahoma')",Oklahoma City,73159,5809.7910730931335,MALE,36.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
112,EMBUSA-1731612,RI,"('RI', 'Washington')",Exeter,02822,3695.720500000001,FEMALE,65.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
113,EMBUSA-1733754,MD,"('MD', 'Montgomery')",Silver Spring,20906,6085.505884974916,MALE,47.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,2
114,EMBUSA-1738503,CA,"('CA', 'San Diego')",Anaheim,92807,4935.535491841197,FEMALE,27.0,Postgraduate Education,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$100,000 - $149,999 USD",125000,1
115,EMBUSA-1740743,MI,"('MI', 'Wayne')",Farmington Hills,48335,18609.377000000008,FEMALE,41.0,High School,Decline to answer,Decline to answer,Full-time work,"$15,000 - $24,999 USD",20000,1
116,EMBUSA-1741583,IL,"('IL', 'McHenry')",Mchenry,60050,69555.05839892381,FEMALE,27.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,4
117,EMBUSA-1743884,WA,"('WA', 'Kitsap')",Gig Harbor,98329,20497.48637460837,FEMALE,23.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
118,EMBUSA-1744387,FL,"('FL', 'Hillsborough')",Tampa,33619,9963.807231258841,MALE,22.0,High School,White,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,3
119,EMBUSA-1744567,PA,"('PA', 'Washington')",Monongahela,15063,1178.4893,FEMALE,59.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
120,EMBUSA-1746414,MD,"('MD', 'Baltimore')",Rosedale,21237,10195.317460981698,MALE,42.0,University/College,Black or African American,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,2
121,EMBUSA-1750807,CA,"('CA', 'San Francisco')",San Francisco,94112,10826.555,MALE,50.0,High School,Asian or Pacific Islander,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,4
122,EMBUSA-1751389,IL,"('IL', 'Lake')",Zion,60099,9141.828131390224,MALE,28.0,High School,Mixed racial background,Decline to answer,Full-time work,"$25,000 - $49,999 USD",37500,2
123,EMBUSA-1751897,IL,"('IL', 'Lake')",Zion,60099,8755.91471246414,FEMALE,30.0,High School,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
124,EMBUSA-1753202,OK,"('OK', 'Cleveland')",Norman,73069,14381.217000000002,MALE,31.0,High School,Native American or Alaskan native,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,7
125,EMBUSA-1753322,PA,"('PA', 'Westmoreland')",Export,15632,28271.26199999999,FEMALE,38.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$200,000 USD or more",250000,4
126,EMBUSA-1753882,MI,"('MI', 'Monroe')",Rockwood,48173,41354.836,MALE,40.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$50,000 - $79,999 USD",65000,5
127,EMBUSA-1755734,UT,"('UT', 'Utah')",Orem,84057,1570.3225424054317,MALE,27.0,High School,White,"No, not of Hispanic origin",Full-time work,"$0 - $14,999 USD",7500,5
128,EMBUSA-1756194,CA,"('CA', 'San Diego')",Poway,92064,10838.374785321756,MALE,54.0,High School,White,"No, not of Hispanic origin",Full-time work,"$80,000 - $99,999 USD",90000,4
129,EMBUSA-1756543,OK,"('OK', 'Oklahoma')",Oklahoma City,73160,13810.798551007421,FEMALE,26.0,High School,Black or African American,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,4
130,EMBUSA-1756545,IA,"('IA', 'Linn')",Cedar Rapids,52402,14558.083693754701,FEMALE,51.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
131,EMBUSA-1757006,OK,"('OK', 'Oklahoma')",Oklahoma City,73114,7094.525990335572,FEMALE,25.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$0 - $14,999 USD",7500,3
132,EMBUSA-1757880,CO,"('CO', 'Denver')",San Jose,95141,5252.546581793389,MALE,27.0,University/College,White,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,1
133,EMBUSA-1758241,CA,"('CA', 'San Diego')",National City,91950,17474.21385631068,FEMALE,60.0,None completed,White,"Yes, of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
134,EMBUSA-1759490,PA,"('PA', 'Montgomery')",Philadelphia,19115,13943.622917098446,FEMALE,28.0,University/College,White,"No, not of Hispanic origin",Full-time work,"$25,000 - $49,999 USD",37500,2
